1,1.07
2,1.58
3,1.91
4,2.55
5,2.95
6,3.29
7,4.14
8,4.72
9,4.86
10,5.50
11,5.91
12,6.23
13,6.83
14,7.34
15,7.69
16,7.97
17,8.34
18,8.79
19,9.44
20,9.66
21,10.23
22,10.75
23,11.44
24,11.84
25,12.24
26,12.65
27,13.24
28,13.67
29,14.22
30,14.42
31,14.80
32,15.11
33,15.52
34,15.71
35,15.91
36,16.06
37,16.26
38,16.39
39,16.52
40,16.55
41,16.56
42,16.70
43,16.95
44,17.04
45,17.07
46,17.26
47,17.41
48,17.57
49,17.79
50,17.97
51,18.21
52,18.35
53,18.51
54,18.71
55,18.90
56,19.02
57,19.17
58,19.32
59,19.46
60,19.60
61,19.76
62,19.85
63,19.97
64,20.00
65,20.12
66,20.18
67,20.28
68,20.34
69,20.46
70,20.57
71,20.74
72,20.89
73,21.05
74,21.17
75,21.24
76,21.34
77,21.43
78,21.56
79,21.67
80,21.80
81,21.93
82,22.01
83,22.05
84,22.12
85,22.23
86,22.36
87,22.50
88,22.65
89,22.78
90,22.87
91,22.97
92,23.10
93,23.20
94,23.32
95,23.45
96,23.55
97,23.66
98,23.76
99,23.86
100,23.96
101,24.32
102,24.65
103,24.97
104,25.29
105,25.61
106,25.87
107,26.13
108,26.38
109,26.66
110,26.90
111,27.14
112,27.39
113,27.60
114,27.78
115,28.02
116,28.23
117,28.44
118,28.62
119,28.76
120,28.99
121,29.10
122,29.21
123,29.21
124,29.32
125,29.44
126,29.53
127,29.60
128,29.70
129,29.76
130,29.88
131,29.98
132,30.09
133,30.16
134,30.27
135,30.37
136,30.46
137,30.52
138,30.61
139,30.70
140,30.88
141,31.06
142,31.19
143,31.25
144,31.38
145,31.54
146,31.63
147,31.71
148,31.81
149,31.88
150,31.95
