1,0.78
2,1.81
3,2.74
4,3.84
5,6.67
6,9.69
7,11.77
8,12.44
9,12.66
10,13.90
11,14.89
12,15.50
13,15.91
14,16.49
15,17.36
16,17.92
17,18.54
18,19.07
19,19.74
20,20.11
21,20.56
22,21.06
23,21.70
24,22.11
25,22.43
26,22.70
27,23.03
28,23.45
29,23.82
30,23.73
31,23.85
32,24.07
33,24.34
34,24.64
35,24.92
36,25.11
37,25.40
38,25.62
39,25.84
40,26.04
41,26.28
42,26.46
43,26.71
44,26.94
45,27.15
46,27.37
47,27.57
48,27.74
49,27.93
50,28.12
51,28.28
52,28.46
53,28.61
54,28.72
55,28.83
56,28.93
57,29.02
58,29.12
59,29.26
60,29.38
61,29.47
62,29.58
63,29.64
64,29.72
65,29.82
66,29.92
67,30.03
68,30.09
69,30.17
70,30.24
71,30.31
72,30.38
73,30.45
74,30.51
75,30.55
76,30.52
77,30.53
78,30.56
79,30.57
80,30.63
81,30.64
82,30.67
83,30.67
84,30.70
85,30.72
86,30.63
87,30.58
88,30.58
89,30.58
90,30.60
91,30.62
92,30.56
93,30.61
94,30.64
95,30.70
96,30.73
97,30.72
98,30.74
99,30.73
100,30.74
101,31.09
102,31.41
103,31.72
104,31.99
105,32.15
106,32.27
107,32.38
108,32.55
109,32.75
110,32.86
111,32.98
112,33.04
113,33.08
114,33.17
115,33.19
116,33.29
117,33.37
118,33.45
119,33.45
120,33.54
121,33.62
122,33.65
123,33.65
124,33.68
125,33.70
126,33.76
127,33.81
128,33.82
129,33.82
130,33.96
131,34.01
132,34.06
133,34.09
134,34.09
135,34.08
136,34.14
137,34.15
138,34.16
139,34.13
140,34.03
141,33.93
142,33.91
143,33.88
144,33.81
145,33.76
146,33.70
147,33.66
148,33.65
149,33.63
150,33.61
151,33.59
152,33.52
153,33.47
154,33.43
155,33.39
156,33.37
157,33.36
158,33.33
159,33.25
160,33.20
161,33.19
162,33.17
163,33.18
164,33.17
165,33.17
166,33.17
167,33.13
168,33.10
169,33.11
170,33.10
171,33.06
172,33.06
173,33.01
174,33.01
175,33.01
176,33.07
177,33.09
178,33.06
179,33.09
180,33.05
181,33.06
182,33.06
183,33.09
184,33.07
185,33.07
186,33.16
187,33.24
188,33.28
189,33.31
190,33.30
191,33.31
192,33.37
193,33.30
194,33.25
195,33.21
196,33.21
197,33.21
198,33.17
199,33.16
200,33.11
